typing_speed,mouse_movements,time_of_day,failed_attempts,is_anomaly,risk_label
52.88917888807324,122.87693681484546,8.982734566725307,0,0,0
52.535620514618344,149.19365133725495,14.998574256749608,0,0,0
52.50989562029586,194.597826437047,13.920930209635127,0,0,0
64.8393960599786,147.84147992343085,15.66784099907867,0,0,0
173.78382353214963,4.48532940069059,22.11282910174042,3,1,1
57.6169782764112,198.6051744167903,15.901832786945931,0,0,0
61.94967972030537,169.60348910408848,15.960083557381553,0,0,0
54.84603972127948,122.92678268566618,18.72739900943254,0,0,0
142.05734880056374,427.733443328627,21.11616709120832,2,1,1
55.297263782802816,116.69767745028653,6.131734242791811,0,0,0
52.47846498076457,104.5165751381221,4.163128449979978,0,0,0
40.077740384536334,94.93228928978124,15.387846787461203,1,0,0
40.42643989442844,101.58517598312451,4.746208560952675,0,0,0
47.69551230812412,139.11765323205034,9.460593870417934,0,0,0
58.33861885055491,154.54748487111408,13.703729870236863,0,0,0
161.9425167307556,22.856624644748678,22.491583862505145,2,1,1
68.47257361095623,174.50278183141592,5.775371958295911,0,0,0
153.044976052298,513.0628622408942,3.8544969744188426,3,1,1
48.246483631318306,141.50593520611437,11.315753251124605,0,0,0
62.379221797798394,97.8957346651146,8.692922162924702,0,0,0
61.422303219259014,119.6943113528378,7.622571842962563,0,0,0
70.30773635518615,117.60564325532593,5.74288401944197,0,0,0
143.13421781230394,511.7277064523165,23.14633757883479,3,1,1
53.54348719574147,159.1434532290631,9.570390078728094,0,0,0
117.11252991355394,22.928485619366054,3.037371670098605,3,1,1
58.05601143213528,139.74205743145637,11.530379760654547,0,0,0
162.73026473690618,513.5209280547986,23.692367083494904,4,1,1
0.0,16.00799628074222,1.7388085831168492,3,1,1
40.01724126577494,189.871023974293,13.523841200973624,1,0,0
48.12151819544225,144.5742617699337,5.654672027912957,0,0,0
66.49932733182328,162.9108010048563,15.446677848053678,0,0,0
47.085412748847716,134.3897791783717,6.313712771643606,0,0,0
19.22764874637783,333.66695077621114,21.68453345182424,4,1,1
62.648515225641376,191.67475562503688,9.249800000058016,0,0,0
51.10878759675637,135.10029093150044,12.301079569722281,0,0,0
73.71580663083556,143.1580898027654,10.001869319835023,0,0,0
68.31322654457675,157.33115341526351,21.683864981476702,0,0,0
46.717081873411956,107.04802038979764,16.0607003199582,0,0,0
49.81002190245736,84.78188736977458,20.888883527243436,0,0,0
122.96247135695505,264.60487688993345,22.4637506049486,2,1,1
52.077447838235166,114.3533247927966,6.03763153354002,0,0,0
49.17403290546741,150.56451329116445,10.95713510557174,0,0,0
70.75725739222496,92.75373356874388,15.669027480513545,0,0,0
63.26562424961612,119.34164242309359,16.600022519522817,0,0,0
55.449613778722465,147.5813974354651,7.3700711228691205,0,0,0
41.75070841388782,187.12573912000965,17.158415740411257,0,0,0
56.522817428058524,141.40607169018608,10.250601628132964,0,0,0
61.65806382727417,152.2734944260425,13.86354316769338,0,0,0
65.63672898702778,104.64273488913264,14.170906922281588,0,0,0
43.75147859776942,79.2400542119925,15.968051025385648,0,0,0
58.80035936128033,150.9925876074189,12.227329845533411,0,0,0
64.90098520044292,176.31623204484816,16.57938466185779,0,0,0
54.97998404780866,222.19635971752547,17.22697120894901,0,0,0
71.97309306903404,140.56385228699125,12.326733756046938,0,0,0
178.9426185297012,20.919813977326687,2.4004592747497076,4,1,1
62.728027544883176,159.69382855319748,12.453829025894697,0,0,0
53.90804950007423,99.18609806560349,9.892172635843862,0,0,0
51.884192221011304,144.2742096984552,13.633416341532545,0,0,0
67.68239324089271,137.2571051877583,4.909034902859186,0,0,0
54.28301387712004,153.78035610981385,9.867145206458707,0,0,0
51.08090353849408,124.24450603400987,11.068544411167453,0,0,0
53.09240604769784,87.27823369765598,7.9517370829752485,0,0,0
51.24033321773294,143.05980829006307,7.850128774036615,0,0,0
65.17494232158164,183.43497393812385,7.910667144688602,0,0,0
55.808371379733934,146.05538240193374,11.673805041458175,0,0,0
60.54034976540436,105.55235358770551,9.537247595381906,0,0,0
52.980648325395066,175.28443728605797,12.422072216590454,0,0,0
69.80406694063731,139.727308655858,12.041991032127386,0,0,0
2.865533640373304,19.19473287495889,22.112680958913757,4,1,1
57.571457069676136,135.39236795765197,14.182114969463939,0,0,0
52.454262087495344,77.54026451495908,10.839755182626904,0,0,0
76.17984966137034,130.92204340553417,9.67909660489389,0,0,0
56.98226917847786,173.3440957192599,11.191666843282572,0,0,0
164.10357541932265,535.3438998454375,0.2722843213949062,5,1,1
53.80732844220081,156.3844083929241,7.364515986446136,0,0,0
66.89685805770702,133.78835035975536,11.588152756277568,0,0,0
50.83458403601214,137.46861020110288,14.744947816077975,0,0,0
46.36888176496641,106.45197436956572,10.19447727234951,1,0,0
70.90224142599797,167.15332158925457,13.956101676019761,0,0,0
79.83349398155471,174.97081938350524,18.08235271129123,0,0,0
63.514156658650876,146.98461480844662,17.726609597446842,0,0,0
67.96078498469002,83.6025512785901,19.30969502582696,0,0,0
62.29600679810309,104.53910980183929,10.715358957545456,1,0,0
48.004501827351866,103.9013565357698,19.406006228440962,0,0,0
48.00743696672622,180.4139580644412,13.215556179712971,0,0,0
56.577077934483235,141.51740975498913,16.142694475629828,0,0,0
66.51816762390546,134.61931701419715,10.708941328036932,0,0,0
5.2690874046855525,21.895257924115374,2.8391514256510275,3,1,1
53.11818558178968,130.88757981626958,15.818319045281978,0,0,0
68.94671634951297,155.1648100333303,11.315181569789102,0,0,0
54.349800483115416,174.2036522709958,18.40217801829792,0,0,0
53.911775525189825,173.05071680611982,10.095391963850329,0,0,0
59.90371534675288,157.9970376349705,17.902974211618304,0,0,0
52.82234805734696,194.91294268940365,11.544304458465415,0,0,0
69.98368035936862,188.06666020513424,15.911079033331639,0,0,0
60.04519532953136,173.37028480479586,5.660101100161374,0,0,0
67.97235809013638,103.58239503622974,9.760237971130417,0,0,0
41.68925891633327,144.90074012931856,10.63936021992654,0,0,0
77.98125833750815,122.95515340902944,13.746757125245178,0,0,0
67.1423127452303,87.15234076557616,13.273672858143808,0,0,0
63.34389155522974,139.70509806126947,9.38703271974903,0,0,0
54.84130838357972,136.12112669913148,8.997798784716757,0,0,0
45.09365842516988,182.48136431892289,8.298013635505658,0,0,0
149.56028893866323,42.52524791689403,3.103293460837113,2,1,1
64.75757648843833,154.16714549698986,13.680471214282278,0,0,0
52.28087992923909,169.7684834146927,15.403857037154685,0,0,0
62.772996875905,158.17350729442316,11.591489754976388,0,0,0
54.38062961254383,136.76276604877174,16.658114191630915,0,0,0
13.627186724882357,13.091831477390002,0.5314465938802471,4,1,1
